FAID,CBPIS,Samkey,HHID,AUID
249779851,677551079,2330001254382,2045089395,2045089395
249782368,677551359,2330000681605,2016594590,172797278
249782889,677551411,2330000334108,174830756,174830756
249793589,677552582,2330000620060,179858802,179858802
249794942,677552761,2330000629780,175293278,175293278
249798208,677553087,2330000480481,178263558,178263558
249810391,677554578,2330000072089,2037759907,2037759907
249810763,677554615,2330000358364,172695654,172695654
249816018,677555313,2330000611673,2019946371,172178797
249819210,677555748,2330000691969,178083391,178083391
249820606,677555887,2330000713285,177383121,177383121
249823345,677556120,2330000625476,300005562,300005562
249837493,677558021,2330000607631,175081389,175081389
249837683,677558040,2330000440868,172145704,172145704
249841362,677558638,2330000697601,174963939,174963939
249844010,677559075,2330000234274,2020890121,2020890121
249847575,677559431,2330000324332,173058815,173058815
249709452,677539764,2330000383162,176515309,176515309
249738527,677542671,2330000280744,173582635,173582635
249814716,677555183,2330000420085,2026950893,2026950893
249855362,677560340,2330000420085,2026950893,2026950893
249762329,677545052,2330000059864,172049605,172049605
249815044,677555216,2330000411236,2020165248,2020165248
249835216,677557750,2330000687760,191139005,174643149
249839283,677558272,2330000611667,2020040593,174604655
249708066,677539624,2330000216277,172933945,172933945
249722349,677541052,2330000028945,172884891,172884891
249737750,677542593,2330001201698,2045300635,2045300635
249743998,677543217,2330000510601,177249410,177249410
249751637,677543981,2330001202663,2042626587,2042626587
249759945,677544812,2330000013716,2009629820,2009629820
249771387,677549799,2330000697377,173596000,173596000
249772773,677549940,2330000393219,181491270,181491270
249774795,677550183,2330000085710,173622612,173622612
249775685,677550361,2330000671189,177609106,177609106
249776279,677550420,2330000150940,173831532,173831532
249781113,677551235,2330000627226,175536978,175536978
249782103,677551333,2330000661469,174272199,174272199
249782830,677551406,2330000319435,176247567,176247567
249786674,677552077,2330000089905,172012096,172012096
249795071,677552774,2330001026098,2024660720,2024660720
249800681,677553207,2330001206707,2044882386,2044882386
249801523,677553419,2330000074918,2009420938,2009420938
249801655,677553432,2330000112150,172687346,172687346
249814724,677555184,2330000587501,2023810756,174126299
249820945,677555921,2330000198939,173872410,173872410
249823444,677556130,2330000266651,176443307,176443307
249826132,677556728,2330000864820,2020442103,2020442103
249826231,677556738,2330000392807,178047921,178047921
249832536,677557497,2330000255824,172806772,172806772
249837337,677558005,2330000390759,177091085,177091085
249843731,677559047,2330000363266,175116897,175116897
249852807,677559954,2330001132890,2042805807,2042805807
249824962,677556567,2330000350650,173937132,173937132
249733429,677542161,2330000649816,2037774764,2037774764
249778713,677550893,2330000211664,2021348995,173092558
249780511,677551175,2330001041713,2024611612,2024611612
249788738,677551610,2300000211383,177087873,177087873
249805326,677553965,2330000931750,2009345981,2009345981
249808429,677554339,2330000866799,2008604739,2008604739
