CBPID,Samkey,HHID,AUID
677538010,2330001434722,2066965771,2066965771
677538693,2330000498703,178275770,178275770
677538754,2330001127594,2039593797,2039593797
677540595,2330000725394,2009407400,2009407400
677541711,2330000631083,176836002,176836002
677543273,2330001077850,2039369829,2039369829
677544414,2330001087030,2039542218,2039542218
677529991,2330000546592,175976693,175976693
677530256,2330000671189,177609106,177609106
677532067,2330000337382,174894669,174894669
677532106,2330000607637,177261202,177261202
677532875,2330000310381,2020607841,2020607841
677533017,2330000989503,2019338923,2019338923
677533252,2330000747196,177044532,177044532
677533734,2330000687759,173063164,173063164
677534010,2330000020504,177716209,172966666
677534170,2330000280744,173582635,173582635
677534263,2330000225837,174674411,174674411
677534272,2330000915815,2037096495,2037096495
677534677,2330000130709,175454083,175454083
677535087,2330000148783,174076554,174076554
677535520,2330000935405,2009388019,2009388019
677535745,2330000164091,176016565,176016565
677536089,2330000703359,176372928,176372928
677536176,2330000541580,178464045,178464045
677536323,2330000539449,172842646,172842646
677536435,2330000767232,2008735312,2008735312
677537245,2330000452815,2008786717,174090855
677537497,2330000557746,177268293,177268293
677537606,2330000934775,2009156059,2009156059
677537690,2330000434562,2024690336,2024690336
677537870,2330000407762,174792111,174792111
677539512,2330000638041,181898056,181898056
677540195,2330001032744,2023378446,2023378446
677541572,2330000347975,176230876,176230876
677542097,2330001017184,2021740984,2021740984
677529214,2330000665944,172113865,172113865
677531015,2330001254458,2045595160,2045595160
677531941,2330001177738,2045404118,2045404118
677532375,2330000558225,2023969923,2037815168
677533140,2330000915258,2010528510,2010528510
677533588,2330000410279,2008280812,2008280812
677533598,2330001174531,2042730617,2042730617
677533683,2330000266651,176443307,176443307
677534175,2330000333663,174938130,174938130
677534225,2330000658467,173149944,173149944
677535608,2330000739691,186491097,186491097
677535910,2330000931733,2008236249,2008236249
677535916,2330000049692,174117795,174117795
677536335,2330000752605,176209737,176209737
677536430,2330000681819,2020157211,2020157211
677536624,2330000649636,2037791941,2037791941
677536836,2330000766747,177766799,177766799
677536847,2330000690819,178051304,178051304
677536872,2330000134410,172028282,172028282
677536965,2330000671189,177609106,177609106
677537023,2330000778786,300701164,300701164
677537658,2330000420085,2026950893,2026950893
677537963,2330000643010,176273025,176273025
677538089,2330000167170,176275749,176275749
677538149,2330000949160,2010066312,2010066312
677538894,2330000051845,2021226239,2021226239
677540683,2330000914724,2044301751,2044301751
677540812,2330000997413,2020234724,2020234724
677541585,2330000514044,174669451,174669451
677542119,2330001157648,2044872947,2044872947
677542750,2330000694324,172141872,172141872
677543002,2330000237368,172464727,172464727
