CBPID,FAID,AUID,HHID,SAMKey
677518142,249495003,177051344,177051344,2330000761581
677518189,249495474,172723770,172723770,2330000419463
677518230,249495888,2066858481,2066858481,2330001432733
677518833,249501917,175174659,2009917855,2330000739447
677518907,249502659,2044199830,2044199830,2330001217997
677518939,249502972,174643149,191139005,2330000687760
677519244,249506023,172173522,172173522,2330000007453
677519344,249507666,300046815,300046815,2330000127700
677520122,249514753,175020659,175020659,2330000391380
677520761,249521147,177167476,2023184360,2330000759351
677521092,249524455,177199204,177199204,2330000290155
677524330,249556838,176227688,176227688,2330000683905
677509655,249410135,177204008,177204008,2330000140303
677509748,249410994,173591218,173591218,2330000586707
677510013,249413717,2042645965,2042645965,2330001133670
677510337,249416959,2042436260,2042436260,2330001157564
677510647,249420050,177463482,177463482,2330000322382
677510811,249421694,173887971,173887971,2330000511716
677510872,249422304,175354180,175354180,2330000671030
677510949,249423070,173902656,173902656,2330000550910
677511200,249425588,176644715,176644715,2330000313155
677511280,249426248,173940784,173940784,2330000170111
677511789,249431479,173692076,173692076,2330000517185
677511991,249433491,172501204,2036877963,2330000461956
677512086,249434440,173526605,173526605,2330000691005
677512228,249435868,173225617,2034809390,2330000076789
677512596,249439548,2019763647,2019763647,2330000208635
677513432,249447905,2035626813,2035626813,2330000124443
677513458,249448168,185052178,185052178,2330000770022
677513987,249453168,2039818860,2039818860,2330001132616
677514035,249453929,172846777,172846777,2330000394614
677514077,249454356,172113865,172113865,2330000665944
677515171,249465295,172012096,172012096,2330000089905
677515441,249467994,174557649,174557649,2330000240744
677516107,249474651,172235583,172235583,2330000115150
677516248,249476060,173063164,173063164,2330000687759
677516264,249476227,172171902,172171902,2330000185223
677516829,249481870,174814116,174814116,2330000244648
677516864,249482225,2020565402,2020565402,2330000776097
677517770,249491283,2020203911,2020203911,2330000661481
677518838,249501966,2034817591,2034817591,2330000488147
677518857,249502154,2045089395,2045089395,2330001254382
677519644,249509977,173189847,173189847,2330000548937
677519828,249511817,2020012448,2020012448,2330000926507
677520329,249516824,175303046,175303046,2330000700131
677521374,249527276,175979739,175979739,2330000191025
677521472,249528258,2008505165,2008505165,2330000686907
677522048,249534017,2044882386,2044882386,2330001206707
677523206,249545591,177841167,177841167,2330000621944
677523559,249550070,181458879,181458879,2330000697605
